0	0;1;2
1	3
2	4
3	5;6;7;8
4	9
5	10;11;12;13;14
6	NA
7	15
8	16
9	17
10	18;19;20
11	NA
12	21
13	22;23;24;25;26;27;28;29;30
14	31;32;33;34;35
15	36;37
16	NA
17	38;39
18	NA
19	40
20	41
21	42
22	43
23	44;45
24	NA
25	NA
26	NA
27	46
28	47;48;49;50
29	51
30	52;53
31	NA
32	NA
33	54
34	55;56
35	57
36	NA
37	58;59
38	60;61
39	62;63
40	64;65
41	66
42	67
43	NA
44	68
45	NA
46	NA
47	69;70
48	71;72
49	73;74
50	75;76;77;78;79;80;81
51	82;83;84
52	85;86
53	87;88
54	89;90;91
55	92
56	NA
57	93
58	94;95
59	96
60	97
61	NA
62	98;99
