0	0;1
1	NA
2	2
3	3;4
4	5;6;7;8
5	NA
6	9;10;11
7	12
8	NA
9	13
10	14
11	15;16
12	17;18
13	NA
14	19
15	20;21
16	NA
17	NA
18	22;23
19	24;25;26;27
20	28;29;30
21	NA
22	NA
23	31;32
24	33
25	NA
26	NA
27	34;35
28	36
29	37
30	38;39;40
31	41
32	42;43
33	44
34	NA
35	45;46;47;48;49;50;51
36	52;53;54;55;56;57
37	NA
38	58;59;60;61;62;63;64;65
39	NA
40	66
41	67
42	68
43	69
44	70;71
45	72
46	73
47	74
48	NA
49	75;76
50	77
51	NA
52	78;79
53	NA
54	80;81;82;83;84;85
55	86
56	87;88;89
57	90;91;92
58	93;94
59	95
60	NA
61	96
62	97;98;99
