29	35
23	37
14	40
15	40
17	40
19	40
20	40
21	40
24	40
25	40
27	40
28	40
29	40
30	40
31	40
32	40
14	41
15	41
17	41
20	41
21	41
24	41
25	41
27	41
28	41
29	41
30	41
31	41
32	41
14	42
17	42
20	42
21	42
25	42
27	42
28	42
29	42
30	42
31	42
32	42
14	45
17	45
20	45
21	45
25	45
27	45
28	45
29	45
30	45
31	45
32	45
14	47
17	47
21	47
25	47
29	47
31	47
32	47
14	50
15	50
17	50
18	50
20	50
21	50
24	50
25	50
27	50
28	50
29	50
30	50
31	50
32	50
14	53
15	53
17	53
18	53
20	53
21	53
23	53
24	53
25	53
27	53
28	53
29	53
30	53
31	53
32	53
14	55
15	55
17	55
18	55
20	55
21	55
24	55
25	55
27	55
28	55
29	55
30	55
31	55
32	55
17	56
23	56
29	56
