19	112
19	113
19	114
30	3
14	4
20	7
9	9
20	10
4	11
8	13
16	15
22	17
25	18
9	19
10	20
25	21
22	22
15	24
30	25
14	28
27	32
3	34
30	36
2	37
1	40
27	48
9	50
14	52
3	55
18	57
1	60
26	61
5	62
26	64
14	65
20	67
8	68
23	71
9	73
30	74
16	76
6	79
12	80
22	82
24	85
0	86
29	88
28	91
30	94
9	97
30	99
11	101
24	102
6	105
20	106
28	108
7	109
19	111
15	114
2	115
12	118
27	120
2	122
30	123
5	124
24	125
28	132
23	135
17	136
24	137
14	140
11	141
17	143
14	145
15	146
15	147
7	148
12	149
5	150
13	151
5	154
20	155
10	156
17	160
14	166
16	169
10	171
26	172
4	173
30	174
13	175
26	178
25	180
0	181
9	182
17	183
14	184
8	187
21	189
24	190
29	193
7	199
