10	58
4	23
10	24
6	2
26	7
24	8
19	10
16	20
29	24
1	25
21	26
10	28
22	31
3	36
27	38
27	39
16	40
26	42
12	43
10	48
15	49
22	51
20	52
13	54
8	56
28	60
0	61
23	62
11	67
9	69
10	72
24	73
22	75
19	78
30	79
19	81
29	82
5	83
4	86
21	89
17	93
26	94
18	95
1	97
6	98
22	104
4	105
7	107
25	108
2	110
23	112
22	115
26	116
3	118
8	119
13	125
4	127
6	128
15	129
5	130
18	131
1	132
27	133
22	135
14	136
17	138
9	141
8	142
16	144
9	145
9	146
23	147
18	149
26	150
5	152
11	153
13	154
30	155
0	157
27	158
24	159
20	164
10	165
28	167
3	168
12	170
6	174
1	175
20	177
30	178
25	180
19	181
8	182
9	187
18	188
8	189
6	191
15	192
7	193
23	195
18	196
7	197
