0	0
1	1;2;3;4;5;6
2	7
3	8;9;10;11
4	NA
5	12
6	13
7	14
8	15
9	16
10	17;18
11	19;20;21;22;23;24;25
12	26;27;28
13	NA
14	29;30;31
15	32
16	33;34
17	NA
18	35;36
19	37
20	NA
21	38
22	39;40;41;42
23	43
24	44;45;46;47;48
25	NA
26	49;50;51;52;53;54
27	55;56;57
28	58;59
29	NA
30	NA
31	60
32	NA
33	NA
34	NA
35	61;62
36	63
37	64;65
38	NA
39	66
40	67;68;69
41	NA
42	NA
43	70
44	71
45	72
46	73;74;75;76;77
47	78
48	79
49	NA
50	80;81
51	82;83
52	84;85
53	86
54	87
55	88;89;90
56	91
57	92
58	93
59	94
60	95;96
61	97
62	98;99
